lat,long,cropland,wildareas-v3-1993-human-footprint,wildareas-v3-2009-human-footprint,trees,grassland,shrubs,water
47.378142,8.565853,0.024000000208616257,39,39,0.6990000009536743,0.04360000044107437,0,0
47.364822,8.881672,0,36,30,0.602400004863739,0.3474000096321106,0,0
46.256639,7.092033,0,5,6,0.7297000288963318,0.25209999084472656,0,0
46.394025,8.655608,0,16,12,0.8036999702453613,0.13529999554157257,0,0
46.987397,8.068953,9.999999747378752e-5,32,25,0.057500001043081284,0.9003000259399414,0,0
46.555264,7.373433,0.00559999980032444,24,25,0.26809999346733093,0.38769999146461487,0,0
46.498772,6.26595,0.23759999871253967,12,11,0.18619999289512634,0.4950999915599823,0,0
47.763636,8.612414,0.05480000004172325,21,15,0.4528999924659729,0.31029999256134033,0,0
47.219356,8.5767,0.017500000074505806,33,35,0.6074000000953674,0.251800000667572,0,0.0340999998152256
46.868244,9.5419,0.16539999842643738,38,36,0.5314000248908997,0.27059999108314514,0,0
47.126578,7.613264,0.18880000710487366,24,22,0.1891999989748001,0.47690001130104065,0,0
47.166089,7.887067,0.2856999933719635,23,19,0.4498000144958496,0.25110000371932983,0,0
47.279386,7.385775,0.0674000009894371,29,29,0.37959998846054077,0.3560999929904938,0,0
46.808986,9.836586,0,36,36,0.24819999933242798,0.6345999836921692,0,0
46.492022,7.561067,0,16,19,0.4526999890804291,0.36149999499320984,0,0
46.395917,6.229419,0.1776999980211258,45,45,0.3222000002861023,0.29840001463890076,0,0
47.548594,7.582372,1.9999999494757503e-4,43,43,0.5342000126838684,0.03359999880194664,0,0
46.315447,8.598925,5.000000237487257e-4,18,12,0.9574000239372253,0.013100000098347664,0,0.010400000028312206
47.265269,8.582169,0,43,43,0.7071999907493591,0.24089999496936798,0,0
46.169278,8.798214,0,37,37,0.41760000586509705,0.02329999953508377,0,0
46.646331000000004,6.777689,0.20819999277591705,30,28,0.4350999891757965,0.29670000076293945,0,0
47.474228,8.795444,0.10080000013113022,32,25,0.5684000253677368,0.28450000286102295,0,0
47.3591,8.590272,0,42,42,0.699400007724762,0.16459999978542328,0,0
46.355131,7.118014,0.00279999990016222,12,16,0.6079999804496765,0.37130001187324524,0,0
46.340108,7.009622,5.000000237487257e-4,27,34,0.47189998626708984,0.4066999852657318,0,0
