lat,long,wc2.1_30s_bio_1,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19
46.290431,6.137128,9.929166793823242,8.908332824707031,33.48997497558594,652.9111328125,25.100000381469727,-1.5,26.600000381469727,10.166666030883789,5.650000095367432,18.16666603088379,2.1666667461395264,1016,102,69,13.442183494567871,294,221,247,254
47.289853,9.104422,8.237500190734863,7.9083333015441895,31.50730323791504,654.71759033203125,21.899999618530273,-3.200000047683716,25.100000381469727,16.266666412353516,1.3833333253860474,16.266666412353516,0.21666665375232697,1302,162,69,28.248838424682617,463,231,463,237
47.279603,8.027331,8.362500190734863,8.708333015441895,33.753231048583984,642.51678466796875,22.700000762939453,-3.0999999046325684,25.80000114440918,16.383333206176758,4.183333396911621,16.383333206176758,0.6333332657814026,1351,140,92,12.481742858886719,393,298,393,326
47.350869,8.510678,9.491666793823242,8.166666984558105,31.41025733947754,670.508056640625,23.899999618530273,-2.0999999046325684,26,17.816665649414063,2.633333444595337,17.816665649414063,1.3333333730697632,1127,131,68,21.654273986816406,372,217,372,230
46.600961,9.422614,6.5625,9.391666412353516,34.5281867980957,662.3653564453125,21,-6.199999809265137,27.200000762939453,14.699999809265137,-1.5166666507720947,14.699999809265137,-1.5166666507720947,1274,150,63,31.08567237854004,445,202,445,202
46.722633,6.536061,9.804166793823242,8.791666984558105,33.55597686767578,654.35760498046875,24.700000762939453,-1.5,26.200000762939453,16.16666603088379,3.1666667461395264,18.016666412353516,1.9833333492279053,1141,117,77,12.461202621459961,319,239,316,253
46.195022,8.056794,4.75,8.600000381469727,34.400001525878906,608.29864501953125,18.799999237060547,-6.199999809265137,25,6.883333206176758,-2.133333206176758,12.483333587646484,-2.133333206176758,822,90,48,20.148555755615234,243,149,225,149
46.177483,6.014089,10.100000381469727,9.433333396911621,34.42822265625,662.40606689453125,25.600000381469727,-1.7999999523162842,27.399999618530273,10.316666603088379,5.949999809265137,18.399999618530273,2.1000001430511475,997,102,69,13.929205894470215,294,219,236,246
46.9213,6.637761,7.25,7.983333110809326,31.806106567382813,640.3302001953125,21.200000762939453,-3.9000000953674316,25.100000381469727,13.350000381469727,2.866666555404663,15.133333206176758,-0.5,1234,119,86,9.014264106750488,337,273,331,296
46.894217,8.252236,9.508333206176758,8.716667175292969,33.52564239501953,654.04974365234375,23.600000381469727,-2.4000000953674316,26,17.516666412353516,1.4666666984558105,17.516666412353516,1.4666666984558105,1340,153,84,22.429576873779297,453,269,453,269
47.277122,8.916314,8.587499618530273,8.058333396911621,31.725723266601563,657.91033935546875,22.399999618530273,-3,25.399999618530273,16.66666603088379,1.783333420753479,16.66666603088379,0.5333333611488342,1314,161,70,27.88393211364746,468,236,468,244
46.756178,6.490211,8.379166603088379,8.074999809265137,32.17131423950195,637.4075927734375,22.5,-2.5999999046325684,25.100000381469727,14.5,4.083333492279053,16.316665649414063,0.75,1247,122,86,9.621567726135254,336,273,329,295
46.236078,8.725292,10.274999618530273,9.699999809265137,34.64285659790039,680.6497802734375,25.200000762939453,-2.799999952316284,28,17,1.9833334684371948,18.78333282470703,1.9833334684371948,1442,166,70,28.587032318115234,464,223,461,223
